x,y,z,yaw,velocity,change_flag
-0.1341,0.1284,-0.0511,0.2792,-0.0020,0
1.2247,0.0989,0.0119,0.3182,0.0000,0
-0.1286,0.1291,-0.0304,0.2710,-0.0019,0
1.2267,0.1089,0.0147,0.3134,0.0000,0
-0.1420,0.1286,-0.0284,0.2756,-0.0019,0
1.2091,0.0955,0.0092,0.3093,0.0000,0
-0.1419,0.1150,-0.0334,0.2739,-0.0019,0
1.2032,0.0943,0.0157,0.3048,0.0000,0
-0.1376,0.1273,-0.0271,0.2738,-0.0019,0
1.1933,0.0807,0.0156,0.3019,0.0000,0
-0.1330,0.1088,-0.0224,0.2723,-0.0019,0
1.1926,0.0805,0.0182,0.2982,0.0000,0
-0.0296,0.1195,-0.0190,0.2846,-0.0017,0
1.1722,0.0778,0.0238,0.2943,0.0000,0
-0.1608,0.1324,-0.0300,0.2756,-0.0019,0
1.1538,0.0645,0.0223,0.2872,0.0000,0
-0.1542,0.1283,-0.0342,0.2752,-0.0018,0
1.1433,0.0632,0.0247,0.2823,0.0000,0
-0.1203,0.0977,-0.0375,0.2786,-0.0018,0
1.1336,0.0633,0.0325,0.2792,0.0000,0
-0.1357,0.1271,-0.0324,0.2741,-0.0018,0
1.1018,0.0519,0.0291,0.2748,0.0000,0
-0.0357,0.1158,0.0025,0.2841,-0.0016,0
1.0789,0.0480,0.0364,0.2716,0.0000,0
-0.1340,0.1292,-0.0302,0.2713,-0.0017,0
1.0474,0.0359,0.0404,0.2696,0.0000,0
-0.1424,0.1294,-0.0268,0.2739,-0.0017,0
1.0322,0.0364,0.0436,0.2660,0.0000,0
-0.0966,0.0853,-0.0238,0.2767,-0.0016,0
1.0136,0.0279,0.0406,0.2627,0.0000,0
-0.0221,0.1385,-0.0065,0.2808,-0.0015,0
0.9944,0.0330,0.0401,0.2588,0.0000,0
-0.0487,0.1481,0.0022,0.2845,-0.0015,0
0.9771,0.0366,0.0411,0.2549,0.0000,0
-0.1394,0.1245,-0.0327,0.2741,-0.0016,0
0.9826,0.0279,0.0328,0.2537,0.0000,0
-0.0853,0.1603,-0.0107,0.2848,-0.0015,0
0.9789,0.0225,0.0434,0.2523,0.0000,0
-0.0386,0.1758,-0.0185,0.2840,-0.0015,0
0.9666,0.0218,0.0373,0.2493,0.0000,0
-0.1156,0.1615,-0.0178,0.2745,-0.0015,0
0.9635,0.0270,0.0329,0.2474,0.0000,0
-0.1027,0.1670,-0.0150,0.2753,-0.0015,0
0.9364,0.0287,0.0324,0.2430,0.0000,0
-0.1031,0.1232,-0.0301,0.2663,-0.0015,0
0.9254,0.0198,0.0265,0.2392,0.0000,0
-0.1370,0.1219,-0.0370,0.2714,-0.0015,0
0.9096,0.0051,0.0303,0.2353,0.0000,0
0.0424,0.6504,-0.0668,0.1806,-0.0015,0
0.8455,-0.0105,0.0397,0.2148,0.0000,0
-0.0355,0.6606,0.0013,0.1717,-0.0015,0
0.7790,-0.0161,0.0380,0.1964,0.0000,0
-0.2480,-0.1301,0.0523,0.0120,-0.0004,0
-1.4054,0.4072,0.0946,-0.1853,-0.0018,0
-0.2205,-0.0483,0.0308,-0.0515,0.0000,0
-1.5242,0.2511,0.0614,-0.2312,-0.0018,0
-0.2747,-0.0449,0.0382,-0.0618,0.0000,0
-1.5168,0.2455,0.0605,-0.2305,-0.0018,0
-0.2810,-0.0323,0.0301,-0.0679,0.0000,0
-1.5220,0.2564,0.0639,-0.2305,-0.0018,0
-0.3080,-0.0276,0.0258,-0.0709,0.0000,0
-1.5201,0.2536,0.0632,-0.2307,-0.0018,0
-0.3199,-0.0071,0.0335,-0.0755,0.0000,0
-1.5271,0.2629,0.0633,-0.2312,-0.0017,0
-0.3444,-0.0091,0.0365,-0.0794,0.0000,0
-1.5217,0.2606,0.0641,-0.2306,-0.0017,0
-0.3535,0.0010,0.0353,-0.0821,0.0000,0
-1.5205,0.2585,0.0668,-0.2305,-0.0017,0
-0.3638,0.0043,0.0324,-0.0868,0.0000,0
-1.5310,0.2624,0.0665,-0.2314,-0.0017,0
-0.3808,-0.0004,0.0384,-0.0907,0.0000,0
-1.5306,0.2631,0.0651,-0.2320,-0.0017,0
-0.3909,0.0026,0.0429,-0.0949,0.0000,0
-1.5289,0.2583,0.0695,-0.2315,-0.0016,0
-0.3987,0.0021,0.0399,-0.0972,0.0000,0
-1.5201,0.2617,0.0668,-0.2319,-0.0016,0
-0.4151,0.0105,0.0380,-0.1012,0.0000,0
-1.5245,0.2583,0.0692,-0.2315,-0.0016,0
-0.4566,0.0261,0.0403,-0.1069,0.0000,0
-1.5184,0.2620,0.0616,-0.2323,-0.0015,0
-0.4665,0.0282,0.0321,-0.1095,0.0000,0
-1.5127,0.2605,0.0604,-0.2315,-0.0015,0
-0.4958,0.0335,0.0313,-0.1154,0.0000,0
-1.5206,0.2629,0.0648,-0.2319,-0.0015,0
-0.5114,0.0434,0.0357,-0.1197,0.0000,0
-1.5228,0.2608,0.0676,-0.2319,-0.0015,0
-0.5287,0.0373,0.0316,-0.1235,0.0000,0
-1.5213,0.2645,0.0590,-0.2318,-0.0014,0
