x,y,z,yaw,velocity,change_flag
0.4556,-0.0519,-0.0231,-0.0001,0,0
2.5132,0.0185,-0.0449,-0.0075,0.0000,0
4.5750,0.0654,-0.0440,-0.0098,0.0000,0
2.2636,0.1948,0.0222,0.0090,-0.0025,0
0.2764,-0.0445,-0.0206,-0.0009,-0.0000,0
2.2998,0.0240,-0.0394,-0.0095,0.0000,0
4.3682,0.0562,-0.0455,-0.0080,0.0000,0
2.3030,0.1766,0.0229,0.0116,-0.0025,0
0.3115,-0.0462,-0.0237,0.0003,-0.0000,0
2.3557,-0.3422,0.0273,-0.0194,0.0000,0
0.3601,-0.0468,-0.0262,0.0007,-0.0000,0
